problem,answer,difficulty
어느 가게에서 음료수 3캔을 한 묶음으로 3500원에 팔고 있습니다. 현지네 반 학생 24명이 음료수를 1캔씩 마시려면 얼마의 돈이 있어야 하는지 풀이 과정을 쓰고 답을 구하세요.,현지네 반 학생 24명이 한 캔씩 음료수를 마시려면 모두 24÷3=8(묶음)을 사야 합니다. 따라서 필요한 돈은 8×3500=28000(원)입니다. 답: 28000원,상
"주어진 분수와 크기가 같은 분수를 모두 찾아 기호를 쓰세요.
3/15
ㄱ. 4/16
ㄴ. 2/10
ㄷ. 1/5
ㄹ. 9/20
ㅁ. 6/30
ㅂ. 8/25","우선, 주어진 분수에서 분모와 분자의 최대공약수를 구합니다. 그리고 나서 최대공약수로 분모와 분자를 나눠줍니다. (3/15)/3=1/5
이제 이 결과와 비교하여 크기가 같은 분수를 찾습니다. 
ㄴ은 최대공약수가 2이므로 약분하면 1/5입니다.
ㄷ은 주어진 분수를 약분한 결과와 같습니다.
ㅁ은 최대공약수가 6이므로 약분하면 1/5입니다.

3/15가 약분된 결과인 1/5와 크기가 같은 분수는 ㄴ. 2/10, ㄷ.1/5, ㅁ. 6/30입니다. 따라서 답은 ㄴ, ㄷ, ㅁ입니다.",중
"분수를 기약분수로 나타내려고 합니다. ( )안에 알맞은 수를 써넣으세요.
1. 6/18 = ( )
2. 60/72 = ( )","분수를 기약분수로 나타내기 위해서는 분자와 분모의 최대공약수를 찾아서 나누면 됩니다.
6/18의 최대공약수는 6입니다. 60/72의 최대공약수는 12입니다.
따라서 기약분수로 나타낸 결과는 다음과 같습니다.
1. 6/18=1/3
2. 60/72=5/6",하
"2/3, 3/4 각각 분수와 크기가 같은 분수를 분모가 가장 작은 것부터 차례로 4개씩 쓰고, 공통분모를 찾아 쓰세요.","주어진 분수들과 크기가 같은 분수를 찾아보겠습니다.
2/3의 크기와 같은 분수: 2/3, 4/6, 6/9, 8/12
3/4의 크기와 같은 분수: 3/4, 6/8, 9/12, 12/16
공통분모: 12",중
"동화책 한 권이 3/4 kg, 과학책 한 권이 7/12 kg일 때, 분모의 곱을 공통분모로 하여 책의 무게를 통분하고, 무게를 비교하세요.","동화책 한 권이 3/4 kg이고, 과학책 한 권이 7/12 kg인데 분모가 다르므로 통분하기 위해서는 분모를 같게 만들어 주어야 합니다. 분모인 4와 12의 최소공배수인 12로 통분해 줍니다.
3/4의 분모와 분자에 각각 3을 곱해주면 9/12가 됩니다. 그럼 동화책 한 권은 9/12 kg이고, 과학책 한 권은 7/12 kg입니다. 따라서 동화책 한 권이 과학책 한 권보다 2/12 kg 더 무겁습니다.",중
"( )안에 들어갈 수 없는 수를 보기에서 모두 찾아보세요.
( )/6 + 4/9 < 1
보기:1, 2, 3, 4, 5","주어진 부등식은 다음과 같습니다: ( )/6 + 4/9 < 1
우리의 목표는 ( )에 들어갈 수 없는 수를 찾는 것입니다. 부등식의 좌변을 간단히 계산해보겠습니다. 
( )/6+4/9=( )*3/18+4*2/18=( )*3+8/18
 는 분수를 합치는데, 두 분수의 분모를 최소 공배수로 만들어야 합니다. 여기서는 6과 9의 최소 공배수인 18을 선택합니다.이제 부등식이 다음과 같이 표현됩니다:  {( )*3+8}/18 < 1
여기서, ( )*3+8은 분자에 해당하며, 이 값이 18보다 작아야 부등식이 성립합니다. 각각의 선택지를 대입하여 확인해봅시다.
1. 1을 대입: 3+8=11, 11은 18보다 작으므로 성립함.
2를 대입: 6+8=14, 14는 18보다 작으므로 성립함.
3을 대입: 9+8=17, 17은 18보다 작으므로 성립함.
4를 대입: 12+8=20, 20은 18보다 크므로 성립하지 않음.
5를 대입: 15+8=23, 23은 18보다 크므로 성립하지 않음.
따라서 답은 4, 5입니다.",중
"합이 1보다 큰 식을 찾으세요.
ㄱ. 2/5 + 3/10
ㄴ. 1/6+4/9
ㄷ. 2/3+5/9
ㄹ. 7/12+1/6","ㄱ은 4/10+3/10=7/10이므로 1보다 작다.
ㄴ은 3/18+8/18=11/18이므로 1보다 작다.
ㄷ은 6/9+5/9=11/9이므로 1보다 크다.
ㄹ은 7/12+2/12=9/12이므로 1보다 작다.
따라서, 합이 1보다 큰 식은 ㄷ. 2/3+5/9이다.",하
"다음 식을 계산하세요.
5/6-3/10","두 분수의 공통분모는 30이므로, 5/6-3/10=25/30-9/30=16/30=8/15입니다.
따라서 답은 8/15입니다.",하
"다음 식을 계산하세요.
3/11-5/22","두 분수의 공통분모를 22이므로, 3/11-5/22=6/22-5/22=1/22입니다.
따라서 답은 1/22입니다.",하
"소연이가 좋아하는 수는 얼마인가요?
동건: 30에서 15와 9의 합을 뺀 후 6을 더한 수가 좋아.
소연: 난 동건이가 말한 수보다 9만큼 더 큰 수가 좋아.","동건이가 좋아하는 수를 구해봅시다.
동건이의 말에 따르면: (30−(15+9))+6
계산을 해보면: (30−24)+6=6+6=12
따라서, 동건이가 좋아하는 수는 12입니다.
그리고 소연이가 좋아하는 수는 동건이가 말한 수보다 9만큼 더 큰 수이므로: 12+9=21
따라서, 소연이가 좋아하는 수는 21입니다.",중
"껌의 수는 사탕의 수보다 몇 개 더 많은지 구해 보세요.
껌이 30개씩 6봉지가 있어. 사탕은 22개씩 8봉지가 있어.             ","
먼저, 껌의 수를 계산해봅시다. 껌 한 봉지에 30개가 있고, 이를 6봉지 갖고 있으므로 총 껌의 수는 30×6=180개입니다.
다음으로, 사탕의 수를 계산합니다. 사탕 한 봉지에 22개가 있고, 이를 8봉지 갖고 있으므로 총 사탕의 수는 22×8=176개입니다.
마지막으로 껌의 수에서 사탕의 수를 뺍니다. 즉, 180−176=4개입니다. 이는 껌이 사탕보다 4개 더 많다는 의미입니다.
따라서, 껌은 사탕보다 4개 더 많습니다.",중
"정민이가 말한 식의 계산 결과는 민정이가 말한 식의 계산 결과보다 얼마가 더 큰가요?
정민: 8*(5+9)-32
민정: 8*5+9-32","
주어진 식을 계산하여 비교해보겠습니다.

정민이의 식: 8×(5+9)−32
민정이의 식: 8×5+9−32
먼저 정민이의 식을 계산합니다: 8×(5+9)−32=8×14−32=112−32=80
다음으로 민정이의 식을 계산합니다: 8×5+9−32=40+9−32=49−32=17
이제 정민이가 말한 식의 계산 결과가 민정이가 말한 식의 계산 결과보다 얼마나 더 큰지 계산합니다: 80−17=63
따라서, 정민이가 말한 식의 계산 결과는 민정이가 말한 식의 계산 결과보다 63이 더 큽니다.",중
"수현이는 12살이고, 형은 수현이보다 4살 더 많습니다. 아버지의 나이는 형의 나이의 3배보다 2살이 적을 때, 아버지의 나이는 몇 살인지 풀이 과정을 쓰고, 답을 구하세요.","수현이의 나이를 S로 표시하면, 형의 나이는 S+4입니다. 아버지의 나이는 형의 나이의 3배보다 2살이 적다고 했으므로, 아버지의 나이를 A로 표시하면 다음과 같은 식이 성립합니다: A=3×(S+4)−2
문제에서 수현이의 나이를 12살로 주어졌으므로, 이를 대입하여 아버지의 나이를 구합니다:
A=3×(12+4)−2
=3×16−2
=48−2
=46
하나의 식으로 나타내면 (12+4)×3-2=16×3-2=48-2=46(살)입니다. 답: 46
따라서 아버지의 나이는 46입니다.",상
"가게에서 5개에 1500원인 사탕 3개와 850원짜리 우유 2개, 1300원짜리 어묵 1개를 사고 5000원을 냈습니다. 거스름돈은 얼마를 받아야 하나요?","'사탕 5개에 1500원인' 사탕 3개의 가격은 1500/5=900원입니다.
850원짜리 우유 2개의 가격은 850×2=1700원입니다.
1300원짜리 어묵 1개의 가격은 1300원입니다.
따라서, 총 구매한 물건들의 가격은
900+1700+1300=3900원입니다.
고객은 5000원을 지불했으므로, 거스름돈은
5000−3900=1100원입니다.
따라서, 고객은 1100원의 거스름돈을 받아야 합니다.",중
빵 135개와 우유 30개를 최대한 많은 사람에게 남김없이 똑같이 나누어 주려고 합니다. 한 사람이 받을 우유는 몇 개인지 풀이 과정을 쓰고 답을 구하세요.,135와 30의 최대공약수는 15이므로 15명에게 나누어 줄 수 있습니다. 따라서 한 사람이 받을 우유는 30÷15=2(개)입니다. 답: 2,상
어떤 수를 6과 10으로 나누었더니 각각 나누어떨어졌습니다. 어떤 수 중에서 가장 작은 수를 구하세요.,"6과 10으로 나누어 떨어지는 수 중에서 가장 작은 수를 찾아보겠습니다.
가장 작은 공배수인 30의 배수들을 생각해봅시다.
6의 배수: 6, 12, 18, 24, 30, ...
10의 배수: 10, 20, 30, ...
6과 10으로 나누어 떨어지는 수는 두 수의 최소 공배수인 30의 배수입니다.
따라서, 6과 10으로 나누어 떨어지는 수 중에서 가장 작은 수는 30입니다.",중
12와 16의 최소공배수를 구하세요.,"12와 16의 최소공배수를 구하기 위해 두 수의 공통 배수들을 살펴보겠습니다.
12의 배수: 12, 24, 36, 48, 60, ...
16의 배수: 16, 32, 48, 64, 80, ...
12와 16의 최소공배수는 두 수의 공통 배수 중에서 가장 작은 수인 48입니다.
따라서, 12와 16의 최소공배수는 48입니다.",하
"자동차의 수와 바퀴의 수를 나타낸 표입니다. 두 사이의 대응 관계를 식으로 나타내어 보세요.
자동차의 수: 1, 바퀴의 수: 4
자동차의 수: 2, 바퀴의 수: 8
자동차의 수: 3, 바퀴의 수: 12
자동차의 수: 4, 바퀴의 수: 16
자동차의 수: 5, 바퀴의 수: 20","자동차의 수와 바퀴의 수의 관계에서 자동차의 수가 x일 때, 바퀴의 수는 자동차의 수에 4를 곱한 것과 같습니다. 즉, 다음과 같은 식으로 나타낼 수 있습니다: 바퀴의 수=4×자동차의 수",중
"두 분수의 공통분모가 될 수 있는 수를 찾으세요.
8/15, 12/25","두 분수의 공통분모를 찾으려면 두 분수의 분모들의 최소 공배수를 찾으면 됩니다.
8/15의 분모는 15입니다.
12/25의 분모는 25입니다.
15와 25의 최소 공배수를 찾아봅시다.
15:15,30,45,60,75,90,105,120,…
25:25,50,75,100,125,…
따라서, 15와 25의 최소 공배수는 75입니다. 따라서, 8/15와 12/25의 공통분모는 75가 됩니다.",중
4/9와 7/12을 통분할 때 공통분모가 될 수 있는 수 중에서 100보다 작은 수는 무엇이 있는지 풀이 과정을 쓰고 답을 모두 구하세요.," 공통분모가 될 수 있는 수는 두 분모의 공배수이므로 최소공배수인 36의 배수를 구하면 36, 72, 108, ...이고 이 중에서 100보다 작은 수는 36, 72입니다. 답: 36, 72",상
"( ) 안에 들어갈 수 있는 자연수는 모두 몇 개인가요?
1/2 < ( )/9 < 25/36","우선 주어진 수 2, 9, 36의 최소공배수를 찾습니다.
2의 소인수분해: 2=2^1
9의 소인수분해: 9=3^2
36의 소인수분해: 36=2^2*3^2 
최소공배수는 각 소인수의 최고 차수를 모두 곱한 것입니다.
최소공배수=2^2*3^2=4*9=36
즉, 2, 9, 36의 최소공배수는 36입니다. 그럼 분모를 모두 36으로 만듭니다.
계산하여 부등식을 정리하면 다음과 같습니다:
18/36<{( )*4}/36<25/36
( ) 안에 들어갈 자연수는 5, 6입니다. 따라서 답은 5, 6 두 개입니다.",중
"사이다가 7/12 리터, 콜라가 2/3 리터, 물이 5/6 리터 있습니다. 양이 가장 많은 것부터 차례로 써 보세요.","대소 비교를 위해 분모를 최소공배수로 만들어줍니다.
12, 3, 6의 최소공배수는 12이므로 분모를 모두 12로 만듭니다.
사이다: 7/12
콜라: 8/12
물: 10/12
분모를 동일하게 만든다음, 비교를 해보니 물, 콜라, 사이다 순으로 양이 가장 많은 것을 알 수 있습니다.
따라서 답은 물, 콜라, 사이다입니다.",중
"주어진 두 수 중에서 더 작은 수를 찾으세요.
0.8, 3/4 ","0.8을 분수로 나타내면 8/10입니다. 8/10과 3/4를 비교하기 위해 분모를 동일하게 만듭니다.
10과 4의 최소공배수는 40이므로 분모를 40으로 만듭니다.
0.8=8/10=32/40
3/4=30/40
두 수를 비교해 보면, 3/4이 더 작다는 것을 알 수 있습니다.
따라서 답은 3/4입니다.",중
"4장의 숫자 카드 중에서 2장을 뽑아 만들 수 있는 가장 큰 진분수를 소수로 나타내면 얼마인지 풀이 과정을 쓰고, 답을 구하세요.
숫자 카드: 1, 3, 4, 5","주어진 숫자 카드로 만들 수 있는 진분수는 13, 14, 34, 15, 35, 45의 6개입니다. 이 중 가장 큰 분수는 45이므로 소수로 나타내면 45=810=0.8입니다. 답: 0.8",상
버스에 승객이 26명 있었습니다. 이번 정류장에서 7명이 내리고 12명이 더 탔다면 지금 버스에 있는 승객은 몇 명인가요?,"버스에 승객이 26명 있었고, 정류장에서 7명이 내리고 12명이 더 탔다면, 총 승객 수는 다음과 같이 계산할 수 있습니다.
초기 승객 수 + 새로 탄 승객 수 - 내린 승객 수
26+12−7=31
따라서, 현재 버스에 있는 승객은 31명입니다.",중
찬영이는 빨간색 색종이 8장과 파란색 색종이 9장을 가지고 있습니다. 태호는 찬영이가 가지고 있는 색종이 수의 3배보다 7장 적게 가지고 있습니다. 태호가 가지고 있는 색종이는 모두 몇 장인지 하나의 식으로 만든 후 구하려고 합니다. 풀이 과정을 쓰고 답을 구하시오.,찬영이가 가지고 있는 색종이의 수는 (8+9)장이고 태호는 찬영이가 가지고 있는 색종이의 수의 3배보다 7장 적게 가지고 있으므로 식을 세워 계산하면 (8+9)×3-7=44(장)입니다. 따라서 답은 44장입니다.,중
"연필이 47자루 있습니다. 학생 8명에게 5자루씩 준다면, 학생들에게 주고 남는 연필은 몇 자루입니까?","연필이 총 47자루이고, 학생 8명에게 5자루씩 주어야 합니다. 그럼 학생 한명 당 5자루를 주어야 하므로, 필요한 연필은 8*5= 40자루입니다. 원래 가지고 있던 연필 47자루에서 필요한 연필 40자루를 빼면, 남는 연필은 7자루입니다. 따라서 답은 7자루입니다.",중
7의 배수 중에서 100에 가장 가까운 수는 얼마인가요?,"7×14=98, 7×15=105이므로 7의 배수 중에서 100에 가장 가까운 수는 98입니다.",중
"두 수의 최대공약수를 찾으세요.
54, 36","먼저 36과 54의 모든 약수를 찾은 뒤, 공통 약수를 구합니다. 36과 54의 공약수는 1, 2, 3, 6, 8, 18입니다. 여기에서 최대공약수는 18이 됩니다. 따라서 답은 18입니다.",중
"두 수의 최대공약수를 찾으세요.
30, 66","먼저 30과 66의 모든 약수를 찾은 뒤, 공통 약수를 구합니다. 30과 66의 공약수는 1, 2, 3, 6입니다. 여기에서 최대공약수는 6이 됩니다. 따라서 답은 6입니다. ",중
"두 수의 최대공약수를 찾으세요.
72, 48","먼저 72와 48의 모든 약수를 찾은 뒤, 공통 약수를 구합니다. 72와 48의 공약수는 1, 2, 3, 4, 6, 8, 12, 24입니다. 여기에서 최대공약수는 24가 됩니다. 따라서 답은 24입니다.",중
"㉠ 전구는 5초마다, ㉡ 전구는 4초마다 불이 깜박입니다. 두 전구가 9시 10분 정각에 동시에 깜박였을 때, 이후 다섯 번째로 동시에 깜박이는 시각은 몇 시 몇 분 몇 초인지 풀이 과정을 쓰고 답을 구하세요."," 5와 4의 최소공배수인 20초마다 동시에 불이 깜박입니다. 따라서 9시 10분 20초, 9시 10분 40초, 9시 11분, 9시 11분 20초 이후 다섯 번째로 동시에 불이 켜지는 시각은 9시 11분 40초입니다.
답:9시 11분 40초",상
한 시간에 80km를 움직이는 자동차가 있습니다. 자동차가 320 km를 움직였다면 몇 시간을 달린 것인가요?,이동 거리는 속도와 시간을 곱한 값입니다. 이동 거리 320km와 속도 80km가 주어졌으니 이를 이용하여 시간을 구합니다. 320/80=4시간입니다. 따라서 한 시간에 80km의 속도로 320km를 이동하는 자동차를 4시간 동안 달렸습니다.,하
"한 접시에 도넛을 5개 담을 수 있습니다. 도넛이 30개라면, 접시는 몇 개 필요할까요? 이를 구한 뒤, 접시의 수와 도넛의 관계를 설명하세요.","한 접시에 도넛을 5개 담을 수 있으므로, 30개의 도넛을 여러 개의 접시에 나눠 담아야 합니다. 도넛의 수를 5로 나누면 됩니다. 30/5=6, 따라서 30개의 도넛을 담기 위해서는 6개의 접시가 필요합니다.답은 6입니다. 이를 통해 접시의 수와 도넛의 관계는 서로 배수의 관계에 있다는 것을 알 수 있습니다.",중
"음료수 1개의 값은 850원입니다. 음료수의 수를 A, 음료수의 값을 B라고 할 때 두 양 사이의 대응 관계를 식으로 나타내어 보세요.","음료수 1개에 850원이므로 음료수의 수에 850을 곱하면 음료수의 값이 됩니다. 따라서 음료수의 수를 A, 음료수의 값을 B라고 하면 B=A×850가 됩니다.",상
"피자의 수와 피자 조각의 수 사이의 대응 관계를 나타내세요.
피자의 수: 1, 피자 조각의 수: 8
피자의 수: 3, 피자 조각의 수: ?
피자의 수: 5, 피자 조각의 수: ?","피자의 수를 A, 피자 조각의 수를 B라고 할 때, 피자 한 판에 8개의 조각을 얻을 수 있으므로 A = 8*B로 나타낼 수 있습니다.",중
피자 15판을 한 사람이 한 조각씩 먹는다면 모두 몇 명이 먹을 수 있는지 풀이 과정을 쓰고 답을 구하세요.,(피자의 수)×8=(피자 조각의 수)이므로 15×8=120(명)이 1조각씩 먹을 수 있습니다. 따라서 답은 120명입니다.,상
"짝지어진 분수의 크기가 같지 않은 것을 찾아보세요.
(1) 9/27, 1/3
(2) 36/54, 4/9
(3) 45/72, 5/8
(4) 20/35. 4/7
(5) 28/42, 4/6","분수를 약분하여 비교해 봅시다.
(1)은 1/3, 1/3로 크기가 서로 동일합니다.
(2)는 6/9, 4/9로 크기가 서로 다릅니다.
(3)은 5/8, 5/8로 크기가 서로 동일합니다.
(4) 4/7, 4/7로 크기가 서로 동일합니다.
(5) 4/6, 4/6으로 크기가 서로 동일합니다.
따라서 짝지어진 분수의 크기가 같지 않은 것은 ‘(2) 36/54, 4/9’ 입니다 ",중
"두 식의 계산 결과가 같은지 다른지 계산하여 알아내세요.
(1) 43-(24+9)
(2) 43-24+9","43-(24+9)=43-33=10
43-24+9=19+9=28
두 식의 계산 결과가 다릅니다.",하
"호연이가 설명하고 있는 수는 얼마인가요?
호연: 120을 15로 나눈 몫에 3을 곱한 수","호연이가 설명하고 있는 수를 식으로 나타내면 다음과 같습니다. 120÷15×3=8×3=24
따라서 답은 24입니다.",중
학생들이 6명씩 8줄로 서 있습니다. 12명씩 모둠을 만들어 단체 줄넘기를 한다면 모두 몇 모둠이 될지 풀이 과정을 쓰고 답을 구하세요.,식으로 나타내면 6×8÷12=48÷12=4(모둠)이 됩니다. 따라서 답은 4입니다.,상
"( ) 안에 들어갈 수 있는 가장 작은 자연수는 얼마인지 풀이 과정을 쓰고 답을 구하세요.
7+(16+56)/8-10 < ( )","7+(16+56)÷8-10=7+72÷8-10=7+9-10=16-10=6이므로 □ 안에 들어갈 수 있는 6보다 큰 수이고, 그중 가장 작은 자연수는 7입니다. 답: 7",상
"두 식의 계산 결과의 합은 얼마인가요?
첫 번째 식: 30+(28-12)/4
두 번째 식: 30+28-12/4","첫 번째 식은 괄호 안을 먼저 계산하면 20+(28-12)/4=30+(16)/4=30+4=34입니다.
두 번째 식은 나눗셈 먼저 계산하면 30+28-3=55입니다.
두 식의 계산 결과의 합는 34+55=89입니다. 따라서 답은 89입니다.",중
"계산을 하세요.
40-96/(11+5)*2","계산 순서는 다음과 같습니다: 괄호 안을 먼저 계산해 줍니다. 그 다음 나눗셈을 계산합니다. 
40-96/(11+5)*2=40-96/(16)*2=40-6*2=40-12=28
따라서 답은 28입니다.",중
"계산을 하세요.
28/4+17-3*5","28/4 = 7
3*5 = 15
그 후, 계산된 결과를 이용하여 수식을 계산합니다.
7 + 17 - 15
7 + 17 - 15 = 9
따라서 주어진 수식 28/4 + 17 – 3*5의 계산 결과는 9입니다.",중
"다음 숫자 중에서 20의 약수를 모두 고르세요.
5, 8, 12, 15, 20","약수는 어떤 수를 나누어 떨어지게 하는 수를 말합니다. 따라서, 20의 약수를 찾기 위해서는 20을 나누어 떨어지게 하는 숫자들을 찾아야 합니다.
20의 약수는 다음과 같습니다:
1, 2, 4, 5, 10, 20
따라서, 주어진 숫자 중에서 20의 약수는 5와 20입니다",하
"다음 숫자 중에서 7의 배수를 찾으세요.
12, 17, 28, 34","7의 배수는 7의 배수로 나누어 떨어지는 수를 의미합니다. 따라서, 각 숫자를 7로 나누어 보면서 나머지가 0이 되는지 확인하면 됩니다.
12는 7로 나누면 나머지가 5이므로 7의 배수가 아닙니다.
17은 7로 나누면 나머지가 3이므로 7의 배수가 아닙니다.
28은 7로 나누면 나머지가 0이므로 7의 배수입니다.
34는 7로 나누면 나머지가 6이므로 7의 배수가 아닙니다.
따라서, 주어진 숫자 중 7의 배수는 28입니다.",하
최대공약수가 51인 두 수의 공약수의 합은 얼마인지 풀이 과정을 쓰고 답을 구하세요.,"최대공약수가 51인 두 수를 각각 a, b로 정합니다. 최대공약수는 두 수의 공약수 중에서 가장 큰 수입니다. 두 수의 공약수를 구하면 1, 3, 17, 51입니다.
이 중에서 1은 모든 수의 약수이므로 제외하면, 최대공약수가 51인 두 수는 3과 17임을 알 수 있습니다. 이제 3과 17 각각의 약수를 구합니다. 3의 약수는 1, 13이고, 17의 약수는 1, 17입니다.
이에 따라 3과 17의 공약수는 1임을 알 수 있습니다. 따라서 답은 1입니다.  ",상
"어떤 두 수의 최소공배수가 22일 때, 다음 숫자 중 이 두 수의 공배수가 아닌 수를 모두 찾아보세요.
22, 33, 44, 55, 66","공배수는 최소공배수의 배수이므로 22의 배수가 아닌 수를 찾아봅니다. 22의 배수가 아닌 수는 33, 55입니다.",중
어느 가게에서 과자 한 봉지를 700원에 판매하고 있습니다. 판매 금액이 8400원이 되려면 과자를 몇 봉지 팔아야 하는지 풀이 과정을 쓰고 답을 구하세요.,판매 금액과 판매한 과자의 수 사이의 대응 관계를 식으로 나타내면 (판매 금액)÷700=(과자의 수)이므로 판매 금액이 8400원이 되려면 8400÷700=12(봉지)를 팔아야 합니다. 답: 12,상
