Q,A,label
맞아요. 사실 회사 사정이 악화돼서 관두게 된 거라면 이렇게까지 힘들진 않았을 거예요. 내 실력에 문제가 있다고 하니 자존감이 바닥을 치더라고요. 제 결과물 때문에 거래처에서 컴플레인이 많이 들어왔었나 봐요.,자부심을 가지고 임하던 일인데 안 좋은 평가를 받게 되었다니 충격이 컸겠네요. 제가 감히 예상하기도 어려울 만큼 혼란스러운 시간을 보냈을 거 같아요. 세상이 마음대로 흘러갈 수만 있다면 얼마나 좋을까요?,2
"상처받긴 했지만, 한편으로는 후회가 되기도 했어요. 어쩌면 이 모든 게 제 잘못일 테니까요. 제가 자신을 잘 개발하지 못해서 생긴 불상사니 누굴 탓할 수 있겠어요.",사람은 모두 완벽할 수 없어요. 아무리 노력해도 어느 구석 한 곳은 부족함이 있기 마련이죠. 제가 보기에 감정화자님은 누구보다 열심히 자기 계발을 해왔어요.,2
그런데 왜 이런 결과를 마주하게 된 걸까요? 그렇다면 저는 노력해도 부족함을 극복해낼 수 없는 루저였을지도 모르겠네요.,그렇지 않아요. 원숭이도 나무에서 떨어지는 때가 있다는 속담처럼 그저 타이밍이 맞지 않았을 뿐이죠. 우리 회사에서는 감정화자님의 영상 편집 실력이 아주 뛰어나다고 평가했었는걸요.,2
정말 그런가요? 저는 누구에게도 인정받지 못하는 사람인 줄로만 알았어요. 그래서 다시는 영상 제작엔 발도 들이지 않을 거라 다짐했었고요. 제가 또다시 이 일을 맡아서 할 수 있을까요?,당연하죠. 우물 안에 갇혀 넓은 세상을 놓치지 말아요. 전에 다니던 회사와 거래처 스타일이 감정화자님과 맞지 않았던 거예요. 분명 어딘가에 감정화자님의 진가를 알아줄 곳이 존재하고 있을 테니 아직 낙담하기는 일러요.,1
그렇게 말해주시니 기뻐요. 다시 일어날 수 있는 용기가 생기는 것 같고요. 여행을 마치고 나면 저와 결이 잘 맞는 회사를 알아봐야겠어요.,좋은 생각이에요. 천천히 여행을 즐기면서 마음의 여유를 충전하고 오면 좋을 것 같네요. 감정화자님은 꼭 다시 일어날 수 있을 거예요. 난 감정화자님이 충분히 그만큼의 힘을 가진 용기 있는 사람이라는 걸 알아요.,2
고마워요. 덕분에 한층 성장한 기분이 드네요. 여행 마치고 연락드릴게요. 같이 식사해요.,좋아요. 건강한 모습으로 뵈어요. 기다리고 있을게요.,2
우리 딸이 부끄러움을 너무 많이 타는 것 같아서 너무 걱정이야.,너희 딸이 좀 내성적인 성격이어서 그럴 수도 있지 뭐. 아직 어린아이잖아. 그 또래 아이들 대게 다 비슷하게 부끄러움 타지 않아?,0
내 생각엔 우리 딸이 또래 아이들보다 유독 더 부끄럼을 타는 것 같아. 누굴 만나면 바로 내 뒤로 숨어버리고 부끄럽다며 누구에게도 전혀 인사를 하지 않아. 이런 상황이 매일 반복되니까 아이에게 무슨 문제가 있는 것은 아닌지 너무 불안해지기 시작했어.,아직 낯 가릴 나이여서 그런 것은 아닐까? 아직 어린아이이니 낯선 사람을 경계하고 무서워할 수도 있지.,0
나도 처음엔 그럴 수도 있다고 생각했어. 그런데 아이가 유치원에서 자주 보는 친구들을 밖에서 마주칠 때도 부끄럽다며 내 뒤로 숨어버리더라고. 그 모습을 보는데 오만 생각이 다 들면서 갑자기 불안함이 엄습하는 거야.,그런 상황을 자주 목격하면 불안한 마음이 들기도 하겠다. 혹시나 아이가 친구를 사귀거나 할 때 어려움을 겪진 않을까 걱정이 됐을 것 같아. 너희 딸이 자기 의사를 잘 표현하지 못해서 곤란한 상황에 부닥칠까 봐 불안한 거지?,2
정확히 맞아. 부끄러움 때문에 꼭 필요한 말도 못 하고 지내는 것은 아닌지 아이의 생활도 너무 걱정돼. 유치원에서 혼자 끙끙거리며 지내고 있는 것은 아닌지 아이가 너무 염려스러워.,엄마라면 당연히 걱정되지. 혹시 유치원 선생님에게서는 아이의 그런 부분에 대해 어떠한 말씀이 없으셨니?,0
"응, 아직은 아무런 말씀도 없긴 해. 너무 조용한 아이라서 선생님이 아이의 그런 부분을 놓치신 것은 아닐지 걱정스러워.",많이 걱정된다면 먼저 선생님께 연락해서 물어보는 것도 좋은 방법일 것 같아. 하지만 선생님에게서 아직도 특별한 언급이 없었다면 아이가 유치원에서는 잘 지내고 있는 것은 아닐까? 내 생각에 아이의 생활에 문제가 있었다면 진작에 연락이 왔을 것 같아.,2
정말 그랬을까? 네 말도 일리가 있는 것 같아. 나는 괜히 아이가 유치원에서 혼자 겉돌며 외롭게 지내고 있는 것은 아닌지 내내 걱정하며 지냈어.,아직도 불안하면 유치원 선생님에게 먼저 전화해서 아이가 잘 생활하고 있는지 물어보자. 만약 아이에게 도움이 필요하다면 적절하게 도울 방법도 알려주실 거야. 막연하게 염려하며 걱정하고 있는 것보다는 문제를 정확하게 알고 대처하는 것이 나을 것 같아.,1
정말 그래야겠다. 나는 아직 확실하지도 않은 일을 상상하며 자신을 너무 괴롭히고 있는 것 같아. 이제 마음을 좀 가다듬고 차분하게 대처해봐야겠어.,"아이 일이라서 걱정되는 엄마의 마음은 충분히 이해하지만, 너무 앞서 하는 걱정은 아무런 도움도 되지 않으니까. 괜히 지나친 걱정으로 너의 몸과 맘이 상하지 않았으면 좋겠어.",1
"팀장님, 저 고객응대 업무랑 맞지 않는 것 같아요.",안 그래도 요새 많이 힘들어 보여서 걱정했어요.,2
진상 고객을 상대할 때면 당황스러운 마음에 머리가 새하얘져요. 항상 매뉴얼에서 벗어나는 일이 생기니까 어쩔 줄을 모르겠어요.,항상 내가 상상한 것 이상의 요구를 하는 사람들이 나타나니 당황스러울 만도 해요. 나도 처음 이 일을 시작했을 때 딱 그런 마음이었어요.,2
진상 고객을 겪을 때마다 대처 방법을 기억해 두려고 노력해요. 하지만 그런 노력들이 다 쓸모없더라고요. 항상 새로운 유형의 진상 고객이 나타나니까 매번 당황해요.,이 일이 매번 혼란스럽고 어려운 게 당연해요. 정사원만 그런 게 아니니까 주눅 들지 않았으면 좋겠어요.,1
하지만 제가 제 몫을 해내지 못하니까 매번 선배님들이 처리해 주시잖아요. 그럴 때마다 너무 죄송한데 제 마음처럼 실력이 늘지 않아요.,지금 선배들도 다 그런 과정을 거치면서 여기까지 온 거니까 조급하게 생각할 것 없어요. 오히려 이렇게 책임감 있는 마음을 가지고 일을 해줘서 정사원이 기특하고 고마운걸요? 지금도 충분히 잘하고 있으니까 능숙하게 대처하지 못한다고 해서 당황할 것 없어요.,1
정말요? 저도 시간이 지나면 선배님들처럼 잘 대처할 수 있을까요?,"당연하죠, 경험이 쌓이다 보면 어떻게 대처해야 하는 지 감이 와요. 방법을 다 알아야 한다는 생각보다는 마음을 차분하게 가지면 다 해결할 수 있어요. 그러니 침착할 수 있도록 마음을 다잡는 연습을 해봐요.",1
"네, 팀장님 조언대로 방법보다는 제 마음가짐을 다잡도록 노력해 볼게요.","이렇게 자기 일에 대해 고민하고, 애쓰는 정사원이라면 그 누구보다도 잘할 것 같네요. 시간이 지나면 자연스럽게 늘어갈 테니 너무 부담 갖지 말고 편안하게 생각해요.",1
"일하면서 힘들 때마다 팀장님께 연락드리는데, 그때마다 진심으로 위로해 주고 조언해 주셔서 감사해요.",혼자 힘들어하지 말고 이렇게 연락해주니 난 너무 고마워요. 힘내요.,2
나 요즘 우울증 약을 먹고 있는데 너무 고민이야.,왜? 무슨 일 있어? 뭐가 그렇게 고민이야.,0
아니 약을 먹으면 너무 잠이 오는 거야. 그래서 업무도 어렵고. 일을 제대로 할 수 있을까?,"이러지도 저러지도 못하는 상황이라 너무 걱정이 많구나. 너무 걱정하지 마, 누구나 다 겪는 일이고 분명 해결 방법이 있을 거야.",1
그랬으면 좋겠어. 약을 먹지 않으면 너무 우울해서 일을 할 수가 없어. 하지만 졸리면 그날 업무를 다 못 끝내니까 그건 그거대로 힘들더라고.,이러지도 저러지도 못하는 상황이구나. 나라도 선뜻 결정을 내리지 못할 것 같아. 주말에는 괜찮은 거지?,2
"일하지 않는 날에는 상관이 없는데, 출근하는 날만 되면 걱정되는 거 있지. 출근하러 가기가 두려울 정도로 고민이 되고 있어. 정말 어떻게 해야 할까.","그러게, 주말에는 약을 먹으면 그만이지만 평일이 문제네. 혹시 상사나 사수한테 이 고민을 물어볼 생각은 해봤어?",2
응 그렇다고 이 고민을 상사한테 말하고 싶지 않아. 나를 이상하게 볼 수도 있잖아. 요즘에 우울증약 먹는다고 하면 사람들이 이상하게 보는 경향이 있더라고.,"나도 비슷한 일이 있어서 조금이나 너의 마음을 알 수 있을 것 같아. 나도 그땐 이 일을 누구에게 말하고 싶어서 밤새 고민을 한 적도 있어. 너무 걱정하지 마, 너만 겪는 일이 아니야!",1
그렇게 생각해? 거대한 벽에 막혀버린 기분이 들어. 이젠 이 벽을 넘을 힘조차 없고 용기도 안 나. 이대로 그냥 살아야 하는 걸까?,그렇게 생각할 수 있지 물론. 하지만 이 세상에 못 넘는 벽은 존재하지 않아. 지금까지 너는 어떤 장애물이라도 아주 쉽게 뛰어넘곤 했잖아!,2
정말? 너는 내가 이 문제도 해결할 수 있을 거라 생각하는 거야? 이번 문제는 지난날의 것들과 다른 느낌이라 나는 겁이 나는 거야.,그럼! 너는 내가 만난 사람들 가운데 가장 현명한 사람인걸! 가끔은 너의 기발한 생각과 해결책에 깜짝 놀랄 때도 있어! 너는 그만큼 똑똑하고 뛰어난 사람이야!,2
이렇게 응원을 해주니 정말 힘이 난다. 정말 고마워 너의 말에 용기를 얻었어. 너무 걱정만 할 게 아니라 이 문제를 해결하도록 노력해야겠다.,그래! 너무 걱정하지 마. 네가 해결할 수 없는 문제가 뭐가 있겠어? 다 잘될 거야.,1
저 어제 사고 날 뻔했잖아요.,큰일 날 뻔했어요. 퇴근길에요?,0
네. 옆 차가 깜빡이도 안 켜고 들어오는 거예요.,그게 무슨 운전 예의래요? 그 운전자 초보운전이었어요?,0
심지어 초보운전도 아니었어요. 그래서 더 화가 나더라니까요. 아이들도 같이 타고 있었는데 큰일날 뻔했어요.,아이와 함께 탔을 때 사고 날 뻔했으니 얼마나 당황스럽고 화가 나셨을지 짐작이 되네요. 저도 아이들이 연관되면 침착하기가 어렵더라구요.,2
그러니까요. 퇴근길에 차가 얼마나 많은데 그렇게 험하게 운전하다니.,그 사람은 운전을 다시 배워야겠네요.,0
완전히 동의해요. 저녁에도 그 순간이 자꾸 생각나서 감정이 격렬해지더라고요. 아이들 앞에서 화를 가라앉힌다고 애를 먹었어요. 아직도 화가 안 가라앉네요.,그렇게 충격적인 일이 있었는데 얼마나 놀라셨겠어요. 감정이 격렬해질 수밖에 없죠. 충분히 이해합니다. 아이들 앞에서 티 내지 않는다고 고생하셨어요.,2
이렇게 말하니까 어제보다는 한결 낫네요. 얘기 들어주셔서 고마워요.,고맙긴요. 얘기 나누면서 푸는 거죠.,0
"아무튼, 앞으로 통행량이 많을 땐 지금보다 특히 주의해야겠어요.",네. 특히 출퇴근길 조심하세요.,1
"대리님, 회사 밑에 있는 편의점에서 렌털 서비스로 비싼 미용기기를 저렴하게 이용할 수 있더라고요. 그래서 원래보다 반값의 가격에 미용기기를 이용했어요.",어쩐지 아침부터 주임님 기분이 좋아 보이더라고요. 그런데 갑자기 웬 렌털 서비스예요?,0
제가 사용하던 미용기기가 갑자기 고장 나서 새로 사려고 하니까 금액이 너무 커서 망설여지는 거예요. 요즘엔 렌털 서비스가 많아서 혹시나 하고 검색해봤더니 진짜 있더라고요. 심지어 가까운 거리에 있는 곳에서 대여 신청이 가능하길래 고민도 안 하고 신청했어요!,그렇게 해서 지출을 줄일 수 있었군요. 예상하지 못하게 지출을 줄이는 것만큼 직장인에게 큰 즐거움은 없는 것 같아요. 저였어도 주임님처럼 즐거웠을 것 같다는 생각이 드네요.,2
사실 렌털이라서 큰 기대는 없었는데요. 브랜드 종류도 다양해서 제가 원래 사용하던 기종도 있더라고요. 덕분에 절약한 돈으로 필요한 곳에 소비를 할 수 있게 되었어요.,한 번에 두 마리를 토끼까지 잡았네요! 늘 생각하는 거지만 주임님은 정보력과 검색 능력이 뛰어난 것 같아요. 저라면 렌털 서비스 검색은 꿈도 못 꿨을 거예요.,2
칭찬까지 들으니까 기분이 더 좋네요! 어떻게 하면 같은 금액이라도 더 현명하게 사용할 수 있을까를 늘 생각해서 그런 것 같아요. 아침부터 얼굴에서 웃음꽃이 떠나질 않아요.,저 같아도 기분 좋아서 주임님처럼 함박웃음을 짓고 다녔을 것 같아요. 새로운 미용기기로 손질한 머리는 잘 된 것 같아요?,2
머리는 평소랑 똑같은데 제 기분이 좋아서 그런지 아주 잘된 것 같아요! 자꾸만 거울을 보게 된다니까요.,주임님의 행복 바이러스가 여기까지 퍼지는 것 같아요. 주임님은 상대방도 기분 좋게 만드신다니까요. 그나저나 절약한 돈으로 뭘 샀는지 물어봐도 돼요?,2
제가 곧 승진 시험을 앞두고 있잖아요. 그런데 퇴근하고 혼자서 공부하려니까 집중이 안 되더라고요. 그래서 인터넷 강의와 독서실 등록 비용으로 썼어요.,시험까지 한 달이나 남았을 텐데 주임님은 행동력도 정말 좋으세요. 일도 빠릿빠릿하게 해내시더니 괜히 잘하는 게 아니었네요. 저는 게으른 편이라 주임님의 그런 장점이 정말 부럽네요.,2
일 잘한다고 동료들한테 인정받는 대리님께 그런 칭찬을 들으니까 몸 둘 바를 모르겠어요. 사실 대리님을 늘 존경하고 있었거든요. 그래서 저도 대리님처럼 인정받는 사람이 되고 싶어서 열심히 하게 되는 것 같아요.,저는 주임님 나이 때 주임님처럼 그렇게 일 못했었거든요. 주임님이 저보다 훨씬 더 일을 잘하는 것 같아요.,2
"최 대리, 오늘은 정말 슬픈 영화를 보고 싶어요.",뜬금없이 그게 무슨 소리예요? 주말 밤에 신나는 영화가 생각나야지.,0
동생이 결혼한다고 하네요. 곧 상견례가 잡힐 것 같아요. 갑자기 그 말을 하는데 어찌나 당황스럽던지.,그럼 좋은 소식이 아니니요? 왜 슬픈 영화가 보고싶어질까요?,0
형제들 다 결혼해서 이제 나만 남았단 말이에요. 벌써 엄마 잔소리에 진이 빠져요.,"아, 그렇네요. 내가 깜박 잊고 있었네요. 김 대리 오빠도 작년에 결혼했지요?",2
오빠도 했고 이제 동생도 하는데 저는 애인도 없잖아요.,그래서 혼자 슬픈 영화에 빠져들고 싶은 마음인 거군요.,2
"외로워 죽겠는데 집에서는 천덕꾸러기 취급이나 받고 있다고요. 내가 일부러 결혼을 안 하는 것도 아닌데, 정말 당황스러워요.",그래도 얼마나 일 잘하고 똑똑한 김 대리인데요. 아마 밖에서는 어머니가가 김 대리 칭찬을 하고 다니실 거예요. 회사에서 우수사원 자리를 놓치지 않는다고.,0
정말 엄마가 내 칭찬을 하고 다니실까요?,능력 좋고 예쁜데 착하기까지 한 둘째 딸이라고 입에 침이 마르게 하실 거예요.,0
내 앞에서는 잔소리만 해대던데 정말 그러셨으면 좋겠어요.,그렇게 잘난 딸이 결혼을 늦게 하니까 아쉬워서 그러시는 거지요. 괜히 그러지 말고 어머니 모시고 신나는 영화로 봐요.,1
그럼 오랜만에 그럴까요?,외로워하지 마요. 김 대리는 애인 못 만나는 게 아니라 안 만나는 거잖아요. 마음만 먹으면 곧 좋은 사람 나타날 거예요.,2
하… 나 진짜 회사 그만둘까.,"야, 갑자기 무슨 소리야? 무슨 일 있어?",0
"아니, 내가 저번에 나랑 친하게 지내던 우리 팀 과장님 퇴사했다고 했잖아.","응, 그랬지. 그 과장님이랑 잘 맞았었는데 이번에 좋은 데로 이직하셨다면서?",0
맞아. 그 과장님인데. 과장님 가시고 나서 지금 우리 팀 사람 없어서 팀장님한테 바로 보고하고 있단 말이야.,진짜? 팀장님한테 바로 업무 보고 올리면 너무 떨리겠다. 그래도 너 일 잘해서 과장님한테는 칭찬받고 그랬었잖아. 내 생각에 너 잘하고 있을 거 같은데?,2
응. 나 진짜 회사 다니고 있었던 거 거의 과장님 덕분이었는데. 사실 우리 과장님 갑자기 이직 결정하신 게 팀장이 내리 갈굼이 진짜 심해서였단 말이야.,"헉, 그럼 지금은 너한테 난리 치고 있겠네. 어떡해. 진짜 말만 들어도 머리 아프다.",2
하… 내 말이 그 말이야. 지금 나 업무 보고 올릴 때마다 관두고 싶어서 죽겠어. 아니 팀에 사람도 부족한데 관두라는 건지 진짜 사소한 것까지 트집 잡고 난리야.,"너희 팀장 진짜 너무하다. 그런 식으로 과장님까지 퇴사하게 했으면 뭔가 느끼는 게 있어야 되는 거 아니야? 진짜 너 어떡해, 말만 들어도 팀장 난리 치는 거 눈앞에 그려지는 듯….",2
그러니까. 방금도 주간 업무 보고 올렸다가 한 소리 들었어. 난 인수인계받은 거라 실수 안 하려고 딱 매뉴얼대로 했는데. 이전에 과장님이 하던 거랑 똑같이 따라 하면 어떡하냐고 양식을 새로 만들래.,"아니, 진짜 너희 팀장 왜 그러냐? 지금 사람도 없어서 일 쳐내는 것만으로도 대단한 건데. 무슨 양식을 새로 만드랴, 진짜 어이없어.",2
그렇지. 이거 내가 화나는 거 이상한 게 아니지?,"야, 정말 착한 사람도 그 팀장이랑 같이 일하면 하루 만에 혀를 내두를 거다. 너 그래도 사람 뽑을 때까지 그 난리 다 받아야 돼서 어떡하냐… 진짜 스트레스 엄청 받을 거 같아.",2
스트레스 가득이지… 그래도 네가 그렇게 말해주니까 좀 위로가 된다. 사람 다음 달쯤에 들어올 거 같은데 그때까지 버텨볼게.,응. 사람 뽑을 때까지 참다가 계속 그러면 진짜 한 소리해. 너희 팀장은 팀원 중요한 줄 모르나? 진짜 네가 고생이 많다….,1
"여보, 우리 아들은 도대체 왜 저러는 건지 너무 화가 나요. 아무리 방을 정리정돈 하라고 말을 하고 가르쳐도 잘 못해요. 다른 건 잘 하는 애가 왜 이러는 건지 정말 알 수가 없어요.",어릴 때부터 정리를 잘 못하던 아이잖아요. 그런 아이가 성인이 되어도 못 한다면 당신이 화가 날 수 있죠. 매일 그런 일을 겪는다면 많이 괴로울 것 같아요.,2
제가 강박이 있어서 정리정돈이 안 되어 있으면 견디기 힘든 건 당신도 알잖아요. 하지만 그걸 아이에게 강요하진 않아요. 최소한의 정리라도 하기를 바라는데 그거 조차 안 되니 내가 화가 나는 거예요.,사실 나도 그렇게 정리를 잘 하진 못했어요. 나중에 독립하고 내 집이 생기니 안 할 수 없어서 하다 보니 늘더라고요. 당신이 독립하기 전까지 조금만 이해해 주면 좋지 않을까요?,1
이런 건 기본이라고 생각하기 때문에 기본도 못하는 거 같아 내가 화가 나는 거예요. 독립을 할지 안 할지도 모르는 거고 결혼을 해서 나갈 수도 있는 거잖아요. 아내가 될 사람도 마찬가지지만 자기 일은 자기가 알아서 해야죠.,그런 생각으로 아들을 가르치고 있다니 무척 훌륭하다고 생각해요. 항상 앞서서 생각하는 당신을 내가 늘 본받아야 한다고 생각해요. 그런 마음에서 아들에게 정리정돈을 가르친다니 우리 아들은 결혼해서 사랑 받을 것 같네요.,2
요즘은 딸이든 아들이든 똑같잖아요. 같이 돈 벌고 같이 가사 일을 하는데 결혼하기 전에 집에서 가르쳐야 한다고 생각해요. 그게 가정 교육인 건데 도통 들을 생각을 안 하니 내가 화가 안 나겠냐고요.,답답하고 화나는 마음은 충분히 알겠어요. 하지만 아직 일어나지 않은 일을 위해서 아들에게 너무 강요하는 건 아닌지 걱정이 되요. 그런 일로 사이가 나빠지면 당신도 무척 마음이 아플거예요.,2
하지만 해야 할 얘기는 해야 하고 가르칠 일은 가르쳐야죠. 알아서 할 테니 내버려 두라고 하는데 어느 정도여야 내버려 두죠. 당신도 우리 아들 방 상태를 알잖아요.,"물론 심각한 수준이긴 하지만 그래도 성인이니 그 아이의 의견을 존중해 줘야 한다고 생각해요. 당신도 이제는 화나는 마음, 걱정하는 마음을 내려놓고 지켜봐야 하는 순간이 되기도 한 거 같고요. 마음을 조금 편하게 지켜보는 노력도 필요해요.",1
당신 얘기를 들으니 제가 너무 심했다는 생각이 조금 드네요. 아들이 성인인데 너무 품 안에 자식으로 대했나 봐요. 당신 덕에 화나던 마음이 조금 가라 앉았어요.,평소와 다르게 너무 화를 내서 걱정했어요. 마음이 조금 진정 된 거 같아서 다행이에요. 당장 화를 낸다고 해서 해결되는 문제는 아니니 우리가 조금 더 기다려줘야 할 것 같아요.,2
"네, 제가 너무 조급한 마음이었던 거 같아요. 뭐든 습관이 되려면 오래 걸리는 건데 말이에요. 아들에게 조금 미안해 지네요.",당신이 좋은 마음에서 그런 거니 너무 마음 쓰지 말아요. 아들도 분명히 이해 할 거예요. 당신이 우리 가족을 위해 그런다는 걸 우린 다 알아요.,2
약속 시간 맨날 늦는 친구가 오늘 또 핑계를 대면서 늦네. 진짜 더는 못 참겠어.,그래? 네가 지금 화가 많이 났겠다. 날씨도 더울 텐데 괜찮아?,2
그러니까. 짜증 나 죽겠어. 매번 이런 식이니 만나기도 싫어 이제는.,네가 그렇게 느끼는 게 당연해. 나라도 매번 늦는 사람에겐 좋은 감정이 들 수가 없더라.,2
나를 무시하는 거 아니야? 자기 시간만 소중하고 내 시간은 소중하지도 않다는 건가? 진짜 화나네.,"네가 친구에게 너무 실망하고 화난 마음은 이해하지만, 친구가 그렇게 생각해서 늦는 건 아닐 거야. 너무 감정 상하지 않았으면 좋겠어.",1
안 그러려고 해도 그게 잘 안되네. 나만 손해 보는 느낌이 너무 싫다.,오늘 만나면 진지하게 이야기를 해보는 건 어때? 네 감정을 솔직하게 털어놓으면 너도 감정이 해소가 되고 친구도 심각성을 느낄 것 같아.,1
